<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY> , $r1 = virtualinvoke $r0.<java.lang.ThreadLocal: java.lang.Object get()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r1 = virtualinvoke $r0.<java.lang.ThreadLocal: java.lang.Object get()>() , $r2 = (java.util.Collection) $r1
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r2 = (java.util.Collection) $r1 , r3 = interfaceinvoke $r2.<java.util.Collection: java.util.Iterator iterator()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , r3 = interfaceinvoke $r2.<java.util.Collection: java.util.Iterator iterator()>() , $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>() , if $z0 == 0 goto return
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , if $z0 == 0 goto return , $r4 = interfaceinvoke r3.<java.util.Iterator: java.lang.Object next()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , if $z0 == 0 goto return , return
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r4 = interfaceinvoke r3.<java.util.Iterator: java.lang.Object next()>() , r5 = (jdk.internal.misc.TerminatingThreadLocal) $r4
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , r5 = (jdk.internal.misc.TerminatingThreadLocal) $r4 , specialinvoke r5.<jdk.internal.misc.TerminatingThreadLocal: void _threadTerminated()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , specialinvoke r5.<jdk.internal.misc.TerminatingThreadLocal: void _threadTerminated()>() , goto [?= $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()]
<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , goto [?= $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()] , $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY> , $r1 = virtualinvoke $r0.<java.lang.ThreadLocal: java.lang.Object get()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , $r1 = virtualinvoke $r0.<java.lang.ThreadLocal: java.lang.Object get()>() , $r2 = (java.util.Collection) $r1
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , $r2 = (java.util.Collection) $r1 , r3 = interfaceinvoke $r2.<java.util.Collection: java.util.Iterator iterator()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , r3 = interfaceinvoke $r2.<java.util.Collection: java.util.Iterator iterator()>() , $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>() , if $z0 == 0 goto return
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , if $z0 == 0 goto return , $r4 = interfaceinvoke r3.<java.util.Iterator: java.lang.Object next()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , if $z0 == 0 goto return , return
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , $r4 = interfaceinvoke r3.<java.util.Iterator: java.lang.Object next()>() , r5 = (jdk.internal.misc.TerminatingThreadLocal) $r4
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , r5 = (jdk.internal.misc.TerminatingThreadLocal) $r4 , specialinvoke r5.<jdk.internal.misc.TerminatingThreadLocal: void _threadTerminated()>()
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , specialinvoke r5.<jdk.internal.misc.TerminatingThreadLocal: void _threadTerminated()>() , goto [?= $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()]
<org.apache.commons.csv.CSVParser$CSVRecordIterator: boolean hasNext()> , goto [?= $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()] , $z0 = interfaceinvoke r3.<java.util.Iterator: boolean hasNext()>()
<org.apache.commons.csv.CSVFormat: boolean equals(java.lang.Object)> , r1 := @this: java.util.concurrent.ConcurrentHashMap
<org.apache.commons.csv.CSVFormat: boolean equals(java.lang.Object)> , r1 := @this: java.util.concurrent.ConcurrentHashMap , r0 := @parameter0: java.lang.Object
<org.apache.commons.csv.CSVFormat: boolean equals(java.lang.Object)> , r0 := @parameter0: java.lang.Object , $i0 = virtualinvoke r0.<java.lang.Object: int hashCode()>()
<org.apache.commons.csv.CSVFormat: boolean equals(java.lang.Object)> , $i0 = virtualinvoke r0.<java.lang.Object: int hashCode()>() , i1 = staticinvoke <java.util.concurrent.ConcurrentHashMap: int spread(int)>($i0)
<org.apache.commons.csv.CSVFormat: boolean equals(java.lang.Object)> , i1 = staticinvoke <java.util.concurrent.ConcurrentHashMap: int spread(int)>($i0) , $r2 = r1.<java.util.concurrent.ConcurrentHashMap: java.util.concurrent.ConcurrentHashMap$Node[] table>
<org.apache.commons.csv.CSVFormat: boolean equals(java.lang.Object)> , $r2 = r1.<java.util.concurrent.ConcurrentHashMap: java.util.concurrent.ConcurrentHashMap$Node[] table> , r3 = $r2
